 站点名称,线路 ,lat,lng,town
 博爱广场,263、286A、南高01、南高17、南高19、南高21、南高22 ,23.117212,112.993911,狮山镇,科技北路
 碧华村,沥10 ,23.100632,113.205689,大沥镇,高岗六巷
 壁堂桥（原九江影剧院）,江01、江01支线 ,22.832128,113.012028,九江镇,儒林东路
 伯奇桥,沥08 ,23.13955,113.183262,大沥镇,伯奇路
 碧湖,里13 ,23.171516,113.152907,里水镇,碧湖路
 博爱路中,南高25 ,23.11867,113.033071,狮山镇,博爱东路
 博爱虹岭路口,沥16、南高25 ,23.121591,113.061132,狮山镇,博爱东路
 博爱科韵路口,南高25 ,23.119447,113.026862,狮山镇,博爱东路
 博爱贤谭路口,沥01、沥13 ,23.121221,113.073209,大沥镇,博爱东路
 博爱罗穆路口,南高14、南高18、南高25 ,23.121033,113.013957,狮山镇,博爱中路
 不求梁村,樵06 ,22.91221,112.923329,西樵镇,S363
 财政大厦,226 ,23.014526,113.098462,石湾镇街道,季华五路
 布新,244、259 ,23.21904,113.100077,狮山镇,S361(里官路)
 渤海路中,沥07 ,23.115925,113.175233,大沥镇,渤海路
 彩滨北路,里7B ,23.176337,113.205683,金沙街道,彩滨北路
 曹边,211、219、236、248、251、259、280 ,23.085625,113.097862,大沥镇,东二路
 彩虹新村,280 ,23.048921,113.119297,祖庙街道,文庆路
 曹边工业区,沥03 ,23.08534,113.095211,大沥镇,曹边工业二区大道
 曹边工业三区,沥03 ,23.081008,113.093015,大沥镇,东南新村大道
 曹边牌坊,沥03 ,23.088002,113.097457,大沥镇,曹边大道
 草场村,里10 ,23.198075,113.195266,里水镇,草场大道
 草场工业区,里07、里07短线、里10、里7B ,23.190569,113.186176,里水镇,X516(里广路)
 曹边社区,沥03 ,23.08763,113.095613,大沥镇,工业二区大道
 草场工业园,里7B ,23.190569,113.186175,里水镇,X516(里广路)
 草场,里07、里07短线、里10B、里7B ,23.188694,113.18897,里水镇,里广路
 草暖公园,244、252、里15、南高06B、南高07、南高20、南高21 ,23.223891,113.068029,狮山镇,瑶平路辅路
 草塘村,沥07 ,23.099595,113.096539,大沥镇,广佛新干线
 草场居委会,里10 ,23.189757,113.190019,里水镇,佛山市大道
 岑二村,樵05 ,22.904823,112.947691,西樵镇,
 岑岗站,0223 ,23.234455,113.10099,里水镇,S267(桂和路)
 岑一村,樵05 ,22.906002,112.948899,西樵镇,
 茶博城,沥07 ,23.111693,113.174844,大沥镇,渤海路
 曾秩和纪念初级中学,江05支线 ,22.826799,113.013458,九江镇,南乡路南
 茶亭,206、251、桂26 ,23.017636,113.085955,张槎街道,江湾二路
 茶基村,桂13、沥09 ,23.05528,113.120053,桂城街道,文华北路
 禅城区国税局,227A、255A、桂30 ,23.004298,113.100766,石湾镇街道,绿景一路
 禅城区卫生监督所,205、280、桂24 ,23.03969,113.118929,祖庙街道,市东上路
 禅城区政府,桂30 ,23.011116,113.117732,石湾镇街道,岭南大道
 禅炭路口,南高02支线 ,23.173535,113.085763,狮山镇,桃园大道
 禅炭吴屋村口,南高15 ,23.204482,113.073281,狮山镇,X493(永安大道西)
 朝山工业区,江05 ,22.8725,112.960604,九江镇,龙高路辅路
 朝星路口,樵03 ,22.908964,112.967124,西樵镇,X510(环山大道)
 朝山公园,樵03 ,22.886791,112.976243,西樵镇,
 朝阳路西,丹12 ,23.098093,112.867805,丹灶镇,桐林路
 村口,桂03 ,23.014304,113.15194,桂城街道,桂业路
 朝阳路口,0202 ,23.221835,113.215814,石门街道,石沙路
 朝阳路东,丹12 ,23.09548,112.880843,丹灶镇,朝阳路
 村头村总站,樵17 ,23.025121,112.993543,南庄镇,大街
 大岸村口,樵07 ,22.982825,112.959002,西樵镇,东西三线
 大岸路口,212、256、丹16、樵07 ,22.976901,112.968685,西樵镇,S113(樵金中路)
 大步创业路,里12 ,23.143213,113.146639,里水镇,大步创业路
 大岸南坊村,樵07 ,22.981544,112.962872,西樵镇,东西三线
 大步村委,里11 ,23.137921,113.152355,里水镇,大步创业路
 大步大江村,里12 ,23.140773,113.146124,里水镇,大步创业路
 大步工业路,里12 ,23.144899,113.152193,里水镇,大步工业路
 大步横三路,里12 ,23.144834,113.147797,里水镇,大步横三路
 大步工业区路口,里11、里12 ,23.142099,113.15604,里水镇,大步路
 大步横二路口,里12 ,23.146218,113.149231,里水镇,大步工业路
 大槎村站,樵09支线 ,23.035169,113.079383,张槎街道,大沙路
 大槎站,樵09 ,22.875044,112.883484,九江镇,X517(常安路)
 大冲联兴工业区,里01 ,23.161914,113.127732,里水镇,大冲工业区路
 大冲工业区路口,208、238、248、里01 ,23.16,113.129901,里水镇,大冲工业区路
 大冲桥,238 ,23.149323,113.126535,里水镇,大冲桥
 大冲市场,208、222、238、248 ,23.153474,113.126982,里水镇,X513(大甘路)
 大甫工业区,里10 ,23.191692,113.128885,里水镇,西线东路辅路
 大谷村委会,江01支线 ,22.831187,113.03827,九江镇,上东三村路
 大岗圩,樵10 ,22.977525,112.915972,西樵镇,大岗东路
 大冲站,里01 ,23.156345,113.128686,里水镇,X513(联江路)
 大甫村,里10 ,23.026853,113.043749,张槎街道,商业街
 大谷斋塘路口,江01支线 ,22.827439,113.034682,九江镇,上东三村路
 大谷工业区,江01支线 ,22.835366,113.041059,龙江镇,G1501(南二环高速)
 大榄,南高21 ,23.209926,113.142281,里水镇,S361(里水大道北)
 大浩湖度假村,沥02 ,23.103972,113.051898,狮山镇,高尔夫球场路
 大榄村,278 ,23.194323,113.029701,狮山镇,X512(官华路)
 大榄牌坊,南高09 ,23.194039,113.029811,狮山镇,X512(官华路)
 大榄桥站,南高21 ,23.198361,113.031201,狮山镇,X512(官华路)
 大榄一村,南高09、南高21 ,23.190512,113.026091,狮山镇,X512(官华路)
 大榄员工村,278、南高09 ,23.191094,113.034155,狮山镇,
 大朗,244、里09、里10、里12、里16 ,23.209926,113.142281,里水镇,S361(里水大道北)
 大沥表村,沥11 ,23.129203,113.119115,大沥镇,X513(联江东路)
 大沥城区北,211、248、275、278、南海-三水 ,23.117515,113.112041,大沥镇,江南路
 大沥高级中学,沥01、沥15、南高25 ,23.116116,113.098894,大沥镇,博爱东路
 大沥城区南（新都会）,南海-三水、206、230、236、251、263、275、278、桂17、沥07、沥13、沥15、沥19 ,23.111797,113.119926,大沥镇,永平路
 大沥供电所,沥01、沥05、沥15、南高25 ,23.116448,113.104129,大沥镇,新城三路
 大沥行政服务中心,沥01、沥16、沥19 ,23.110365,113.115523,大沥镇,振兴路
 大沥老干活动中心,238、沥02、沥04 ,23.118077,113.117044,大沥镇,兴隆大街
 大沥摩托车市场,211、219、230、238、248、259、263、275、278、280、桂17、沥03、沥06、南海-三水 ,23.11902,113.105591,大沥镇,S263(广云路)
 大沥公园,238、沥02、沥04 ,23.114742,113.117207,大沥镇,沥园路
 朝阳路中,丹12 ,23.096605,112.874478,丹灶镇,朝阳路
 朝阳市场,樵04、樵12 ,22.938692,112.90334,西樵镇,朝阳路
 朝一,205、206、208、209、280、232B、桂05、桂06、桂15、桂26、桂27、桂28 ,23.034067,113.125116,祖庙街道,南桂西路
 陈边,南高04 ,23.189755,112.973575,狮山镇,虹岭路
 陈村客运站,831 ,22.953515,113.241408,陈村镇,佛陈路辅路
 陈家路口,樵05 ,23.072494,113.097507,大沥镇,乐城一路
 陈村医院（新君悦酒店）,831 ,22.956551,113.238805,陈村镇,佛陈路
 承业大厦,桂04、桂13、桂20、桂32 ,23.050172,113.151683,桂城街道,南平西路
 城际海北广场,230、276、210A ,23.136253,113.186776,大沥镇,海北大道
 城门头南,259 ,23.027744,113.10295,祖庙街道,汾江中路
 城北物流中心,212、280 ,23.053325,113.095973,祖庙街道,文昌西路
 城南路口,南高33 ,23.057796,113.040708,狮山镇,城南路
 城南路口(原罗村市场站),205、219、277、桂31 ,23.057796,113.040708,狮山镇,城南路
 城南市场,沥04、沥05、沥06、沥10、沥14 ,23.103552,113.121471,大沥镇,沥兴花苑一巷
 城南一路,沥02 ,23.107874,113.105506,大沥镇,城南一路
 城区小学,江04B ,22.933279,113.195014,北滘镇,东兴苑一区一街
 城市广场,222、210A、H12、桂17、桂31、261A、286A、南海-三水、桂30 ,23.037709,113.150104,桂城街道,南桂东路
 城西花园,里7B ,23.161799,113.205079,金沙街道,风和街
 城中公园,209、209、261A、南高33 ,23.058724,113.041769,狮山镇,沿江中路
 城中路,樵09支线 ,22.879721,112.87443,九江镇,
 赤岗村,232、232B ,23.304612,113.107861,里水镇,
 赤山,244、里10、里12、里16 ,23.213869,113.13503,里水镇,S361(里水大道北)
 赤山工业区,244 ,23.215588,113.123772,里水镇,S361(里水大道北)
 赤山工业区路口,里10、里16 ,23.215588,113.123772,里水镇,S361(里水大道北)
 赤山胜水桥,里09、里12 ,23.215624,113.134383,里水镇,赤山大道
 赤山长塘,里09、里12 ,23.219541,113.13428,里水镇,赤山大道
 崇报,江06、江06支线 ,22.9155,113.007535,九江镇,Y157(九樵路)
 崇北路口,樵07 ,23.037081,112.960841,丹灶镇,S113(樵金中路)
 崇北国泰站,丹05 ,23.007026,112.941133,西樵镇,东升南路
 崇北上坊村,丹05 ,23.015913,112.941373,西樵镇,东升南路
 崇北市场,丹05、樵13 ,23.009115,112.940667,西樵镇,东升南路
 崇北下坊村,丹05 ,23.013633,112.939702,西樵镇,东升南路
 崇南斗头南,樵01、樵05、樵08、樵15 ,22.961809,112.984787,西樵镇,碧霞一路
 崇南沙涌村,樵13 ,22.963253,112.961677,西樵镇,樵华路
 川亚鞋厂,桂09 ,23.013754,113.223652,桂城街道,胜利西路
 创业大道中（黛富妮）,樵02、樵04 ,22.966776,112.930619,西樵镇,东西三线
 崇南路口,212、256、丹16、樵07 ,22.970383,112.969637,西樵镇,S113(樵金中路)
 创业路口,樵11 ,22.963063,112.899063,西樵镇,百业大道西
 创业南路,278、280、南高09 ,23.176153,113.068357,狮山镇,创业南路
 创意园,226 ,23.014556,113.092293,张槎街道,季华四路
 慈菇塘,里04、 ,23.249471,113.150599,里水镇,文教路
 （七星）闸边村,樵03 ,22.905866,112.966651,西樵镇,显星大道
 （新河）礼门村,樵06 ,22.945635,112.92182,西樵镇,西江公路
 阿兹米特,205、南高05、南高13 ,23.105246,112.96768,狮山镇,X514(三环西路)
 爱国沙涌,樵02、樵06、樵17 ,22.951737,112.959057,西樵镇,S269(西樵大道)
 安怀外工村,278、南高07 ,23.160557,113.085824,狮山镇,松岗工业大道北
 澳边新村,桂13、沥09 ,23.059288,113.119746,桂城街道,叠滘大道
 八达通家居港路口,里11、里12 ,23.144212,113.158041,里水镇,沙涌大道
 八甲村,樵13 ,22.991987,112.936653,西樵镇,工业大道
 巴黎春天西门,沥01、沥05、沥16 ,23.108061,113.115334,大沥镇,振兴路
 白岗村委,里10B ,23.235393,113.148754,里水镇,棠溪村南大街
 白岗村总站,里10B ,23.235393,113.148754,里水镇,棠溪村南大街
 白岗路口,208、222、238、里04、里08、里7B ,23.239856,113.138022,里水镇,X516
 白岗市场,208、222、238、252、里08、里09、里04、、里7B、里10B ,23.236175,113.139227,里水镇,孔村东街
 白露岗,208、238、248 ,23.164785,113.13353,里水镇,X513(联江路)
 白沙赤珠岗路口,南高18 ,23.086043,113.008598,狮山镇,兆基路
 白沙村委,沥07 ,23.206459,112.843973,云东海街道,X521
 白沙岗,樵09 ,22.91507,112.928359,西樵镇,S113(樵高公路)
 白沙桥,209、212、248、250、261A、286A、快08、南高18 ,23.082095,113.01256,狮山镇,S113(桂丹路)
 白沙公交总站,沥07、沥18 ,23.144101,113.201936,大沥镇,建设大道
 白沙桥牌坊,南高18 ,23.089036,113.02032,狮山镇,Y281(罗穆路)
 白沙小学,沥07 ,23.132722,113.199494,大沥镇,三乡公路
 白塔村总站,里10B ,23.202972,113.195729,里水镇,西华寺街
 白塔工业园,里10B ,23.184647,113.199477,里水镇,工业大道
 白沙站,丹10 ,22.995932,112.965131,丹灶镇,下安大道
 白沙市场,南高18 ,23.131427,113.191278,大沥镇,沙溪大道
 白塔路口,里10B ,23.18051,113.200118,里水镇,里广路
 白藤村,南高05 ,23.156193,112.9511,狮山镇,
 百东回环,樵02、樵07 ,22.962967,112.92731,西樵镇,S269
 百东村委会,樵02、樵04 ,22.967551,112.925618,西樵镇,S269
 百东市场,樵02、樵04 ,22.968594,112.922332,西樵镇,百业大道东
 百计村路口,南高09、南高10 ,23.176914,112.996432,狮山镇,华沙路
 百太路,樵07、樵17 ,22.957318,112.922141,西樵镇,百太路
 百乐路中,樵07 ,22.966776,112.930619,西樵镇,东西三线
 百乐路,樵08 ,22.966743,112.93059,西樵镇,东西三线
 百西村头村,樵02、樵04 ,22.967301,112.917143,西樵镇,百业大道
 百西大地村,樵07、樵17 ,22.956716,112.916379,西樵镇,新纺路
 柏山村,樵03、樵14 ,22.888414,112.980297,西樵镇,大桐西路
 百西简塘村,樵11 ,22.972917,112.905199,西樵镇,G15(沈海高速)
 百业大道东（雄科厂）,樵02、樵04、樵17 ,22.969642,112.924345,西樵镇,百业大道东
 半江花园,南高12、南高12B ,23.153633,112.897442,西南街道,沙头大道
 伴仙岗,281、里02 ,23.181055,113.133891,里水镇,西线东路
 伴仙岗村口,里01 ,23.180814,113.12848,里水镇,环江东路
 伴仙岗(胡氏宗词),里01 ,23.181055,113.133891,里水镇,西线东路
 宝达玩具厂,南高19 ,23.166488,113.004451,狮山镇,
 宝华村,桂03、桂32 ,23.061239,113.156097,桂城街道,宝石西路
 宝盈广场,沥15 ,23.120567,113.096573,大沥镇,体育西路
 保利花园,桂07、桂11、桂14 ,23.064133,113.146313,桂城街道,锦园路
 保利水城,G8、H11、H12、桂01、桂03、桂07、桂11、桂14、桂16、桂27、桂32、快08、沥11 ,23.061918,113.143457,桂城街道,海七路
 宝盈假日广场,丹01、丹12 ,23.058402,112.910178,丹灶镇,丹横路
 保利西街,H11、H12 ,23.062185,113.140436,桂城街道,灯湖西路
 保利澳尔公寓,桂03、桂32 ,23.059711,113.154159,桂城街道,宝翠北路
 北村路,桂18、桂19、沥18 ,23.115204,113.168462,大沥镇,S361(北村大道)
 北村德星里,244、281、桂18、沥12 ,23.127477,113.17281,大沥镇,S361(北村大道)
 北村村委会,江04 ,23.12367,113.155882,大沥镇,新村一路
 北村,244、281、桂18、沥12 ,23.125243,113.172207,大沥镇,北村大道
 抱龙桥,樵10 ,23.000851,112.894803,白坭镇,S269
 北湖二路,南高14、南高33 ,23.066523,113.0523,狮山镇,状元路
 北村闸,244、281、桂18、沥12 ,23.132244,113.174384,大沥镇,S361(村公路)
 北村五约,江04 ,22.919819,113.033564,九江镇,振业西六路
 北李村,233、丹03、丹10 ,23.087839,112.945269,丹灶镇,S113(樵金北路)
 北湖三路,212、219、248、250、277、286A、G1、桂31 ,23.063389,113.052764,狮山镇,S113(桂丹路)
 北沙市场,里01 ,23.188485,113.131469,里水镇,西线东路
 北良村,樵05 ,22.901285,112.940945,西樵镇,
 北区综合市场,南高04、南高05、南高10、南高22 ,23.174736,112.980814,狮山镇,兴业北路
 北沙糖瓷厂,里01 ,23.196962,113.140826,里水镇,北沙路
 北头村,里11 ,23.219529,113.150247,里水镇,得金观音庙路
 北英村,樵12 ,22.930002,112.918521,西樵镇,
 北山口（人民路）,江04B ,22.892558,113.063506,龙江镇,人民北路
 北沙站,281、里02 ,23.188579,113.131804,里水镇,西线东路
 北涌村,樵12 ,22.929584,112.92123,西樵镇,S363
 北园中路北,南高04 ,23.169745,112.984748,狮山镇,北园中路
 北园公司,211、南高10、南高11 ,23.174567,112.985471,狮山镇,X512(银狮路)
 北园中路南,南高04 ,23.155998,112.984031,狮山镇,北园中路
 北洲,里6B ,23.274569,113.167978,里水镇,南向新街
 本田用品,南高05、南高13 ,23.107512,112.961719,狮山镇,X514(三环西路)
 弼教村,831 ,22.966446,113.197348,陈村镇,佛陈路辅路
 碧岸村,樵09支线 ,22.861917,112.902538,九江镇,Y242(西岸大道)
 碧翠豪城,南高14、南高33、南高34 ,23.064581,113.046137,狮山镇,北湖一路
 碧翠华庭,沥06 ,23.105914,113.185571,大沥镇,广佛新干线
 弼唐,206、251、桂26 ,23.019747,113.089624,张槎街道,江湾一路
 碧桂花城,831、G8 ,22.982383,113.142739,陈村镇,佛陈路
 碧桂西苑,831 ,22.95249,113.258433,北滘镇,长宁路
 碧桂园城市花园,桂27 ,22.985446,113.117935,石湾镇街道,岭南大道北
 碧海湾,桂02、桂15、桂16 ,23.020549,113.172894,桂城街道,平西大道
 广和大桥东,202、 ,23.238038,113.185833,石门街道,鸦岗南大道
 广特电器,南高04、南高05、南高10 ,23.171125,112.980599,狮山镇,兴业北路
 广州金沙洲(三骏市场),里7B ,23.159647,113.202481,金沙街道,翠林街
 广州金沙洲（三骏市场）,里7B、里07、沥07、沥18 ,23.159647,113.202481,金沙街道,翠林街
 广州南站,快03 ,23.005839,113.219148,桂城街道,S43(广珠西线高速)
 广珠城轨碧江站,831 ,22.953188,113.259174,北滘镇,工业二路
 广珠路碧江立交,831 ,22.948638,113.250623,北滘镇,G105(京珠线)
 广珠路碧江站,831 ,22.950585,113.254297,北滘镇,碧江大道
 桂城东二(民园),桂01、279、快01 ,23.029028,113.149304,桂城街道,南新二路
 桂城东二（民园）,279、快01、桂01 ,23.029028,113.149304,桂城街道,南新二路
 桂城加油站,211、212、276、桂05、桂18、桂24、桂30、桂31 ,23.039599,113.133702,桂城街道,佛平二路
 桂城交管所,桂04、桂08、桂10、桂11、微循环1 ,23.038662,113.185664,桂城街道,夏东路
 桂城立交,279、桂19 ,23.067233,113.16505,桂城街道,S82(佛山水道大桥)
 桂城员工村,桂04 ,23.026123,113.164976,桂城街道,庆安路
 桂城长者颐乐中心,232、桂08、桂09、桂15、桂04、桂21 ,23.033653,113.205929,桂城街道,人民路
 桂城街道办事处（富景花园）,232B、桂09、桂11、桂12、桂14、桂30 ,23.027141,113.128664,祖庙街道,朝安北路
 桂城中学（原平洲高中）,232B、桂09、桂26、快03 ,23.030363,113.181037,桂城街道,桂平路
 桂城中学东门,桂07、桂15 ,23.028109,113.183544,桂城街道,兴仁工业区二路
 桂丹颐景园,209、241、248、250、丹04、快08 ,23.06278,112.942857,丹灶镇,S269(桂丹大道)
 桂海花园,G6、桂03 ,23.022153,113.149606,祖庙街道,桂澜路
 桂和里官路口,244 ,23.072494,113.097507,大沥镇,乐城一路
 桂花村,江04B ,22.851709,113.025169,龙江镇,聚龙大道
 桂江二中,桂05 ,23.055854,113.129864,桂城街道,南一路
 桂华中学,279、桂01 ,23.0266,113.143793,桂城街道,南新一路
 桂和里官路站,223 ,23.217067,113.105401,里水镇,S361
 桂江路口,206、208、222、223、桂17、桂18、南高02支线、南海-三水 ,23.104596,113.136307,大沥镇,S267(桂和路)
 桂江桥（怡翠尊堤东）,206、250、南海-三水、208、222、223、275、276、桂17、桂18、沥14、南高02支线 ,23.080353,113.135266,大沥镇,S267(桂和路)
 桂江小学,桂05、桂14 ,23.065816,113.130816,桂城街道,海七路
 桂江桥东,276、210A、沥14 ,23.08027,113.136346,大沥镇,穗盐路
 桂澜海八路口,G6 ,23.068559,113.149954,桂城街道,桂澜路
 桂澜海六路口,G6、桂32、桂16、沥15 ,23.061869,113.149725,桂城街道,桂澜路辅路
 桂澜海三路口,G6 ,23.050066,113.149989,桂城街道,南平西路
 桂澜路（石肯）,G6 ,23.009805,113.149381,桂城街道,清晖路
 桂澜路南海家天下,G6、H11、H12、桂04、桂13、桂16、桂20、桂27 ,23.042968,113.14999,桂城街道,桂澜中路
 桂澜路(鹿璟村),桂30 ,23.009805,113.149381,桂城街道,清晖路
 桂澜路（鹿璟邨）,G6 ,23.009805,113.149381,桂城街道,清晖路
 桂澜桥,沥11、沥15 ,23.084479,113.145242,大沥镇,穗盐路
 桂平美食城,232B、桂09、桂26 ,23.031018,113.17824,桂城街道,桂平路
 桂园,桂06、桂15、桂18、255B ,23.034497,113.119925,祖庙街道,桂园西三路
 大沥汽车客运站,206、219、238、248、259、278、280、桂17、沥03、沥04、沥05、沥06、沥11、沥14、南高07、南高08、南高11、南高11B、南高16、南高20 ,23.124188,113.098487,大沥镇,松岗大道南辅路
 桂雅社区居委,261A、桂02、桂05、桂13、桂32、沥09 ,23.050603,113.131721,桂城街道,海三路
 大沥商业步行街,211、219、236、248、251、259、280、沥02、沥07、沥13、沥15 ,23.11292,113.114817,大沥镇,振兴路
 大沥商业步行街东站,沥03、沥04、沥06、沥09 ,23.10984,113.118419,大沥镇,金贸大道
 大沥医院,沥02、沥13、沥16、南高16、南高25 ,23.10625,113.107728,大沥镇,城南二路
 大沥医院大布分院,230、沥04 ,23.131124,113.076805,狮山镇,颜峰大道
 大沥镇政府,沥01、沥05、沥14、沥15、南高16、南高25 ,23.113298,113.105707,大沥镇,新城大道
 大沥医院南门,沥14 ,23.104514,113.109043,大沥镇,钟边路
 大沥中学,沥02 ,23.119488,113.121278,大沥镇,中联路
 大良交警中队,南海-顺德 ,22.860669,113.225383,伦教街道,G105(京珠线)
 大润发,南海-顺德 ,23.050574,113.127991,桂城街道,海三西路
 大沙路口,210A、沥08 ,23.146938,113.181199,大沥镇,浔峰洲路
 大沙社区,210A、沥08 ,23.154556,113.17405,大沥镇,浔峰洲路
 大伸路口,江05、江05支线、江05 ,22.848244,113.002318,九江镇,X526(九江大道)
 大伸,江01、江01支线、江05、江05支线、江06、江06支线 ,22.850282,113.000818,九江镇,Y157(樵江路)
 大伸水闸,江01、江01支线、江05、江05支线、江06、江06支线 ,22.852983,113.000744,九江镇,Y157(樵江路)
 大石工业区,里02 ,23.198553,113.115635,里水镇,西线东路
 大石流管站,里10 ,23.203277,113.12148,里水镇,里水市场大道
 大石市场,里10 ,23.200824,113.125006,里水镇,里水市场大道
 大塘涌,桂27、桂30 ,23.025348,113.123592,祖庙街道,文华北路
 大十麦村,256、丹10、丹11 ,23.027141,112.962004,丹灶镇,S113(樵金中路)
 大同派出所,樵03 ,22.888439,112.985283,西樵镇,同济路
 大同桥,江06 ,22.881759,113.001132,九江镇,Y157(九樵路)
 大同村委会,樵03 ,22.891131,112.983406,西樵镇,吉祥街
 大同三村,樵03 ,22.891398,112.98947,西樵镇,大同路
 大同四村,樵03 ,22.887279,112.98925,西樵镇,同济路
 大同医院,樵03 ,22.893544,112.980308,西樵镇,显岗大道
 大桐村委会,樵14 ,22.891131,112.983406,西樵镇,吉祥街
 大桐路,樵14 ,22.876069,112.97513,西樵镇,
 大桐路口,江05、樵14 ,22.873344,112.973839,西樵镇,龙高路辅路
 大桐三村,樵14 ,22.891398,112.98947,西樵镇,大同路
 大桐四村,樵14 ,22.887279,112.98925,西樵镇,同济路
 大文教站,里04、 ,23.24906,113.142628,里水镇,文教路
 大涡村,丹01 ,23.173563,112.990871,狮山镇,X512(银狮路)
 大涡塘村委,南高10、南高12、南高22 ,23.140769,112.983485,狮山镇,S263(广云路)
 大涡塘工业区路口,南高10 ,23.148946,112.979173,狮山镇,兴业北路
 大渦村,丹12 ,23.173563,112.990871,狮山镇,X512(银狮路)
 大涡塘文化活动中心,南高10 ,23.14767,112.980522,狮山镇,兴业北路
 大杏村,樵10 ,23.010109,112.888975,丹灶镇,X512(大杏大道)
 大学城北商业区,275、南高01、南高02、南高23、南高26 ,23.15401,113.027532,狮山镇,信息大道中
 大涡塘市场,南高10 ,23.145104,112.982303,狮山镇,S55(二广高速广州支线)
 大元阁站,里10 ,23.171549,113.139559,里水镇,里水大道
 大镇,211、219、236、248、251、259、280 ,23.090535,113.098072,大沥镇,大镇大道
 大镇南方电网,沥09 ,23.07759,113.107397,大沥镇,
 大镇派出所,沥03 ,23.089441,113.100944,大沥镇,大镇大道
 大镇社区,沥09 ,23.086348,113.1057,大沥镇,大镇大道
 大镇市场,沥09 ,23.087437,113.104085,大沥镇,社头坊大路
 大镇中学,沥09 ,23.085453,113.112435,大沥镇,点头村东向街前
 大转弯夹板城,沥06 ,23.105915,113.178808,大沥镇,虎榜新路
 大转弯（黄岐凯民茶博城）,230、236、250、251、263、276、277、279、210A、沥08、沥18 ,23.107939,113.176262,大沥镇,广佛路
 大庄梁家,樵13 ,22.961799,112.96489,西樵镇,樵华路
 丹邱村,211、263、沥01、沥13、南高11、南高11B ,23.132307,113.066956,狮山镇,S263(广云路)
 丹邱村村中站,南高11B ,23.137122,113.066949,狮山镇,
 丹灶二小站,丹12 ,23.086665,112.894129,丹灶镇,X512(丹横路)
 丹灶法院,209、241、248、250、丹04、丹06、丹16 ,23.056382,112.920477,丹灶镇,S269(桂丹大道)
 丹灶国税,丹06 ,23.055696,112.916988,丹灶镇,S269(桂丹大道)
 丹灶行政服务中心,212、256、丹02、丹03、丹10、丹11 ,23.065147,112.956655,丹灶镇,S113(樵金中路)
 丹灶汽车客运车站,丹06、209、241、248、250、丹04、丹05、丹08、丹08支线、丹09、丹16、快08、樵10、丹01、丹12 ,23.056102,112.907679,丹灶镇,祥泰路
 丹灶汽车客运站,209、241、248、280、丹01、丹04、丹05、丹08、丹08支线、丹09、丹12、丹16、快08、樵10 ,23.056102,112.907679,丹灶镇,祥泰路
 丹灶国税局,209、241、248、250、丹04、丹16 ,23.055696,112.916988,丹灶镇,S269(桂丹大道)
 丹灶医院（环保学院站）,209、丹12 ,23.056102,112.907679,丹灶镇,祥泰路
 丹灶镇政府,209、241、248、250、丹04、丹06、丹16、快08 ,23.055262,112.913838,丹灶镇,桂丹西路
 丹灶中心幼儿园,丹09、樵10 ,23.038664,112.913703,丹灶镇,工业大道
 丹灶中心小学,丹08支线、丹09、樵10 ,23.036634,112.908227,丹灶镇,工业大道
 凼浪站,樵12 ,22.926953,112.92834,西樵镇,S363
 道村,227A ,22.955111,113.012796,南庄镇,S363(吉利大道西)
 得金工业区,里11 ,23.222708,113.149069,里水镇,得金路
 得金工业区路口,202、208、222、238、里04、里08、里09、里10B、里7B ,23.223647,113.142283,里水镇,里和路
 得胜村,202、208、222、238、里04、里08、里10B、里7B ,23.215664,113.14546,里水镇,X516(里和南路)
 得胜村委,里11 ,23.217313,113.151446,里水镇,得胜村东道
 得胜南隅站,208、238、里04、里08、里7B、里10B ,23.212407,113.146369,里水镇,X516(里和南路)
 灯湖东路,H12 ,23.058671,113.143407,桂城街道,灯湖东路
 灯湖东路中,H11、H12 ,23.056479,113.143272,桂城街道,灯湖东路
 灯湖市政公园,H11、H12 ,23.066343,113.143688,桂城街道,灯湖东路
 灯湖西路南,232、831、H11、H12、桂28、沥09、沥15 ,23.052409,113.140173,桂城街道,灯湖西路
 灯湖小学,桂11、桂14 ,23.058993,113.14617,桂城街道,锦园路
 灯泡厂,219 ,23.040877,113.004625,狮山镇,Y109(罗务路)
 登山大道,226、227A、樵09、樵16 ,22.943594,112.980843,西樵镇,汾江中路
 登山大道口,樵01、樵02、樵03、樵05、樵06、樵09、樵10、樵12、樵13 ,22.943594,112.980843,西樵镇,汾江中路
 登洲路口,831 ,22.977829,113.148207,陈村镇,新村西路
 邓岗桥脚,里01 ,23.194125,113.153433,里水镇,北沙路
 邓林村,樵04、樵12 ,22.931478,112.903088,西樵镇,太平路
 邓西村,沥09 ,23.122665,113.109834,大沥镇,沥西路
 地铁横沙站,里07 ,23.16144,113.200768,金沙街道,金沙洲路
 邓岗,202、208、222、238、244、里02、里04、里07、里08、里12 ,23.186147,113.150073,里水镇,里水大道
 地铁魁奇路站,227A、255A、桂30 ,22.999045,113.102438,石湾镇街道,汾江南路
 第六社区服务站,樵13 ,23.003395,112.941778,西樵镇,东升南路
 第五人民医院,江06、江07、樵07、樵08、樵14、樵16、樵17 ,22.948153,112.988976,西樵镇,江浦东路
 地铁金融高新区站,223、南高02支线、G1、G6、桂01、桂20 ,23.068426,113.15418,桂城街道,永达街
 地铁浔峰岗站,里07、230 ,23.16678,113.195979,金沙街道,金沙洲路
