 名称,许可证号,许可证有效期,地址,经营项目,经营方式,食品类型,主题类型 ,lat,lng,town
 佛山市南海区丹灶金沙唐明忠杂货店,SP4406821050177709,12/05/2016,佛山市南海区丹灶镇上安村中坊开发区李祥开铺位第5号,预包装食品,零售, , ,23.053335,112.914423,丹灶镇,桂丹西路
 佛山市南海区罗村弘康药店,SP4406821350081705,12/04/2016,佛山市南海区狮山镇罗村城西区长庚大道金湖广场市场街23、25号,预包装食品、乳制品,零售, , ,23.061934,113.035215,狮山镇,贵隆路
 佛山市南海金佰玲贸易商行,SP4406821350081551,12/04/2016,佛山市南海区大沥镇黄岐宏威路宏威中心7号商铺,预包装食品、乳制品,批发兼零售, , ,23.116397,113.187216,大沥镇,宏威路
 佛山市南海中天药业连锁有限公司天养堂药房,SP4406821310081938,12/08/2016,佛山市南海区狮山镇小塘城区永安路联兴楼3、4号铺,预包装食品、乳制品,零售, , ,23.099157,112.977493,狮山镇,四环路
 佛山市南海区罗村沈宝明杂货店,SP4406821350081713,12/04/2016,佛山市南海区狮山镇罗村村委会“北边内滩”地段南湖一路商业街28号,预包装食品,零售, , ,23.064597,113.069276,狮山镇,通心巷
 佛山市南海区里水梓韵商店,SP4406821350082187,12/10/2016,佛山市南海区里水镇金溪市场5号商铺,预包装食品、散装食品、乳制品,零售, , ,23.260429,113.125785,里水镇,金贤路
 佛山市南海区小塘丽新商店,SP4406821150180261,12/03/2016,佛山市南海区狮山镇小塘城区长安路玉兰楼八号铺,预包装食品、散装食品、乳制品,零售, , ,23.099157,112.977493,狮山镇,四环路
 佛山市南海区西樵淘花缘茶艺店,SP4406821350081625,12/04/2016,佛山市南海区西樵镇江浦西路西樵山白云洞景区入口侧岭南文化苑首层A111号商铺,预包装食品,零售, , ,22.9436,112.964458,西樵镇,S363(锦湖路)
 佛山市佛心医药连锁有限公司松安分店,SP4406821010176447,12/03/2016,佛山市南海区松岗松安南路20号,预包装食品,零售, , ,23.147835,113.097305,狮山镇,松安南路
 佛山市南海黄岐醇馨副食商店,SP4406821150185030,03/15/2014,佛山市南海区大沥黄岐六联北村公路南二段之西庙后3至6号,预包装食品,批发兼零售, , ,23.119485,113.190219,大沥镇,鄱阳路
 佛山市南海大沥镇洁鸿百货店,SP4406821250000847,03/05/2015,佛山市南海区大沥镇黄岐六联怡兴村六巷一号首层之一,预包装食品,零售, , ,23.11271,113.183554,大沥镇,牡丹路
 佛山市南海区古韵轩茶行,SP4406821350081414,12/03/2016,佛山市南海区桂城街道海三路28号A座首层写字楼,预包装食品,批发, , ,23.049856,113.139526,桂城街道,海三路
 佛山市南海区楚粮米业商行,SP4406821350082427,06/30/2014,佛山市南海区大沥镇盐步广东金珠三角粮油物流中心内D栋首层30、31号铺,预包装食品、散装食品,批发兼零售, , ,23.100834,113.181212,大沥镇,穗盐东路
 佛山市南海区桂城至上便利店,SP4406821350082195,12/10/2016,佛山市南海区桂城叠北南海棉织二厂招待所首层之二,预包装食品、乳制品,批发兼零售, , ,23.064489,113.121496,桂城街道,村头村
 佛山市南海区大沥文逸轩茗茶店,SP4406821050177969,12/05/2016,佛山市南海区大沥博爱东路3号金域华庭愉景阁11号商铺,预包装食品,批发兼零售, , ,23.119221,113.026582,狮山镇,博爱东路
 佛山市南海区万福城购物商场,SP4406821350047014,03/17/2016,佛山市南海区里水镇和顺大道8号一、二、三层,预包装食品、散装食品、乳制品,零售, , ,23.252148,113.129479,里水镇,X493(和顺大道)
 佛山市南海区洪盛达百货店,SP4406821350081406,12/03/2016,佛山市南海区桂城街叠南社区洙泗530号首层之一,预包装食品,零售, , ,23.053994,113.121492,桂城街道,文华北路
 佛山市南海区桂城佳林枫日用品店,SP4406821350081383,12/03/2016,佛山市南海区桂城街道佛平五路1号康怡丽苑49号商铺,预包装食品、乳制品,零售, , ,23.032034,113.191567,桂城街道,东信南路
 广东骏粮贸易有限公司,SP4406821110227749,11/21/2014,佛山市南海区桂城街道桂平中路65号鸿晖都市产业新城2栋1106室,预包装食品,批发, , ,23.034388,113.169006,桂城街道,桂平路
 佛山市南海区西樵意丰杂货店,SP4406821050177897,12/04/2016,佛山市南海区西樵太平市场昌荣街15号,预包装食品,零售, , ,22.931968,112.910087,西樵镇,胜意街
 佛山市南海区松岗石碣广汕百货店,SP4406821150181594,12/23/2016,佛山市南海区松岗石碣华兴农贸综合市场C15-C16号,散装食品,零售, , ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区小塘潘贤谦杂货店,SP4406821050179670,12/02/2016,佛山市南海区小塘四环路合益楼4号铺,预包装食品、散装食品、乳制品,零售, , ,23.099278,112.977164,狮山镇,四环路
 佛山市仁参缘医药有限公司至仁分店,SP4406821310083337,12/23/2016,佛山市南海区里水镇商贸中心市场502、503号,预包装食品、散装食品、乳制品,批发兼零售, , ,23.201026,113.158807,里水镇,新兴路
 佛山市南海益康医药连锁店济康分店,SP4406821310083232,12/22/2016,佛山市南海区丹灶镇金沙西联开发区康和市场对面,预包装食品、乳制品,零售, , ,23.090129,112.937478,丹灶镇,X512(中心公路)
