 名称,许可证号,许可证有效期,地址,类型 ,lat,lng,town
 佛山市南海区盐步好又来饮食店,粤餐证字2013440605002521,2016-07-30,佛山市南海区盐步联安小桥靠广佛二线（南国小商品城侧）12号铺,快餐店 ,23.104512,113.146421,大沥镇,广佛新干线
 佛山市南海区大沥镇黄岐珍品味米粉店,粤餐证字2013440605002522,2016-07-31,佛山市南海区大沥镇黄岐岐西路31号广东南方五金总厂（H栋首层101号铺）,小型餐馆 ,23.11602,113.184576,大沥镇,岐西路
 佛山美乐宝玩具有限公司,粤餐证字2013440605002523,2016-07-31,佛山市南海区西樵岭西工业区,食堂 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区丹灶镇金沙中学,粤餐证字2013440605002524,2016-07-31,佛山市南海区丹灶镇金沙办事处城区夏沙路,食堂 ,23.064706,112.95638,丹灶镇,金兴路
 佛山市南海区大沥君鼎汇酒楼,粤餐证字2013440605002526,2016-08-04,佛山市南海区大沥镇体育南路商业中心1栋,大型餐馆 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区西樵镇美福乐蒸饺店,粤餐证字2013440605002528,2016-08-04,佛山市南海区西樵镇百东大山边开发区29号-1号,小吃店 ,22.932598,112.997663,西樵镇,
 佛山市南海区罗村爱丽斯实验幼儿园,粤餐证字2013440605002529,2016-08-04,佛山市南海区罗村联星村（土名）“三角”地段,食堂 ,23.055613,113.04271,狮山镇,城中路
 佛山市南海大沥广西饭店,粤餐证字2013440605002530,2016-08-04,佛山市南海区大沥沥东芦村路口,小型餐馆 ,23.074541,113.029545,狮山镇,佳琪路
 佛山市南海区大沥镇黄岐味如家美食店,粤餐证字2013440605002531,2016-08-04,佛山市南海区大沥镇黄岐岐西路31号（南方广场）L区首层01号铺,小吃店 ,23.115928,113.185361,大沥镇,岐西路
 佛山市南海区壹手拉面馆,粤餐证字2013440605002533,2016-08-04,佛山市南海区大沥镇黄岐海北广场一楼F区FG04、FG05号,小吃店 ,23.135118,113.184148,大沥镇,三乡路
 佛山市南海区桂城寿司正回转寿司店,粤餐证字2013440605002534,2016-08-04,佛山市南海区桂城南海大道北75号嘉信茂广场04层16/17A铺,中型餐馆 ,23.034853,113.135012,桂城街道,天佑三路
 佛山市南海金帆河鲜饮食店,粤餐证字2013440605002536,2016-08-04,佛山市南海区西樵西岸沙利围（即庆云大道十字路口）,大型餐馆 ,22.88388,112.878011,荷城街道,X517(常安路)
 佛山市南海区桂城怡翠世嘉甜心守护甜品店,粤餐证字2013440605002535,2016-08-04,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场A3-28、36,饮品店 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海金商汇宾馆,粤餐证字2013440605002532,2016-08-04,佛山市南海区大沥镇黄岐六联南村沙岗八亩,小型餐馆 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区黄岐好时西餐厅,粤餐证字2013440605002538,2016-08-04,佛山市南海区黄岐广佛一路48黄岐商贸大厦首层1号商铺,大型餐馆 ,23.036262,113.136236,桂城街道,南海大道南
 佛山市南海区西樵汪耀娟小食店,粤餐证字2013440605003006,2016-10-17,佛山市南海区西樵上金瓯文北7－8号铺,小型餐馆 ,22.988224,112.910126,西樵镇,S269(大岗东路)
 佛山市南海区大德茶餐厅,粤餐证字2013440605002540,2016-08-05,佛山市南海区桂城街道平洲大德路24号（平洲二中对面）临街商铺,小型餐馆 ,23.036088,113.194481,桂城街道,大德路
 佛山市南海区西樵马记牛肉面店,粤餐证字2013440605003007,2016-10-17,佛山市南海区西樵镇官山城区江浦东路38号首层4号商铺,小吃店 ,22.944953,112.984318,西樵镇,江浦东路
 佛山市南海区官窑杭州小笼包店,粤餐证字2013440605002537,2016-08-04,佛山市南海区狮山镇官窑驿园西路1号,小吃店 ,23.232959,113.073387,狮山镇,驿园西路
 佛山市南海泰源印染有限公司,粤餐证字2013440605003008,2016-10-17,佛山市南海区西樵联新工业区,食堂 ,22.980144,112.944245,西樵镇,大新路
 佛山市南海大沥盐步冰城美食店,粤餐证字2013440605003009,2016-10-17,佛山市南海区大沥镇盐步“牛栏岗”沙涌综合楼13号商铺,小型餐馆 ,22.907725,113.035636,九江镇,振业西三路
 本田汽车零部件制造有限公司,粤餐证字2013440605003011,2016-10-20,广东省佛山市佛山市南海区南海经济开发区本田路1号,食堂 ,23.189612,112.996889,狮山镇,本田路
 佛山市南海松岗清润甜品店,粤餐证字2013440605003012,2016-10-20,佛山市南海区狮山镇松岗松风综合市场内C1C2号,小型餐馆 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区桂城村香美食店,粤餐证字2013440605003010,2016-10-20,佛山市南海区桂城街道夏东大道孔溪牌坊侧原孔二压铸厂,中型餐馆 ,23.012237,113.092391,石湾镇街道,河东大街
 佛山市南海区狮山星宝幼儿园,粤餐证字2013440605003014,2016-10-20,佛山市南海区狮山镇官窑汀圃小学,食堂 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区官窑星旭小食店,粤餐证字2013440605003015,2016-10-20,佛山市南海区狮山镇官窑汀圃潘村开发区（潘村西侧）商铺自编20－21号,中型餐馆 ,23.211541,113.001491,狮山镇,Y105(东西二线)
 佛山市南海区朱武建西式快餐店,粤餐证字2013440605003017,2016-10-20,佛山市南海区桂城街道平洲平南市场编号A座一楼A10商铺,快餐店 ,23.026154,113.194018,桂城街道,佛平五路
 佛山市南海区华南师大附属怡翠玫瑰幼儿园,粤餐证字2013440605003018,2016-10-21,佛山市南海区桂城街道季华七路2号,食堂 ,23.012919,113.139546,石湾镇街道,季华七路
 佛山市南海区丹灶徐志明凉茶店,粤餐证字2013440605003016,2016-10-20,佛山市南海区丹灶镇联沙社区下良村塱塘西梁淮开自建铺位首层之三,饮品店 ,23.053335,112.914423,丹灶镇,桂丹西路
 佛山市南海区桂城好旺美食店,粤餐证字2013440605003019,2016-10-21,佛山市南海区桂城街道海三路金桂园西北区群楼首层17号之一铺位,小吃店 ,23.162283,112.893964,西南街道,月桂一路
 佛山市南海祢话事娱乐城,粤餐证字2013440605003020,2016-10-21,佛山市南海区大沥镇黄岐岐西路南方广场E幢四楼,大型餐馆 ,23.115939,113.185671,大沥镇,杜鹃路
 佛山市南海区西樵一加九小食店,粤餐证字2013440605003022,2016-10-21,佛山市南海区西樵镇山根下沙村崔国棠厂边的原潭启底田,中型餐馆 ,22.930807,112.994784,西樵镇,S269(环山大道)
 佛山市桂城技工学校,粤餐证字2013440605003021,2016-10-21,佛山市南海区桂城街道天佑北路17号,食堂 ,23.037655,113.136752,桂城街道,南兴北路
 佛山市南海区西樵海景小食店,粤餐证字2013440605003023,2015-06-29,佛山市南海区西樵樵生市场周边楼25、26、45、46号铺,小吃店 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区杨升小吃店,粤餐证字2013440605003024,2016-10-21,佛山市南海区桂城街道石肯三村教育路东区16号首层之一,小吃店 ,23.035023,113.141712,桂城街道,南桂东路
 佛山市南海区金然美食店,粤餐证字2013440605003025,2016-10-21,佛山市南海区桂城石二村东华路段7-9号,中型餐馆 ,23.013862,113.160054,桂城街道,东工业大道
 佛山市南海区里水朱泽强早餐店,粤餐证字2013440605003027,2016-10-21,佛山市南海区里水镇麻奢新街51号,小吃店 ,23.216174,113.115863,里水镇,S361(里水大道北)
 佛山市南海区冯府家厨饮食店,粤餐证字2013440605003026,2016-10-21,佛山市南海区罗村府前路金盛广场首层130号商铺,小型餐馆 ,23.060121,113.047678,狮山镇,府前路
 佛山市南海区罗村罗湖冰城饺子店,粤餐证字2013440605003028,2016-10-21,佛山市南海区罗村罗湖桂丹公路福星大楼4号铺,中型餐馆 ,23.06288,113.042809,狮山镇,西二街
 佛山市南海区牛人馆餐厅,粤餐证字2013440605003029,2016-10-21,佛山市南海区罗村街道罗村大道兴塱广场商铺一（5、6）号铺,中型餐馆 ,23.052962,113.034921,狮山镇,罗村大道
 佛山市南海九江镇宏望小食店,粤餐证字2013440605003030,2016-10-22,佛山市南海区九江下北大伸工业区食街1号地铺,小型餐馆 ,23.01851,113.209481,桂城街道,宝翠路
 佛山市南海金兴发制罐有限公司,粤餐证字2013440605003032,2016-10-22,佛山市南海区九江镇大伸北工业区,食堂 ,22.849595,112.999801,九江镇,西海路
 佛山市南海区九江越城小食店,粤餐证字2013440605003031,2016-10-22,佛山市南海区九江镇大正路九号左边第一间商铺,快餐店 ,22.837513,113.012338,九江镇,大正路
 佛山市南海风花雪月酒吧,粤餐证字2013440605003033,2016-10-22,佛山市南海区桂城街道灯湖西路20号保利水城6栋10-15号铺,中型餐馆 ,23.062406,113.143216,桂城街道,海七路
 佛山市南海区冠聪饮食店,粤餐证字2013440605003035,2016-10-22,佛山市南海区桂城街道平西兴仁村工业开发区恒丰综合楼4-7号,小型餐馆 ,22.888195,113.070156,龙江镇,人民北路
 佛山市南海区方正卫生教育培训中心,粤餐证字2013440605003036,2016-10-22,佛山市南海区桂城夏西工业区一路,食堂 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区品道茶香奶茶店,粤餐证字2013440605003037,2016-10-22,佛山市南海区桂城街道平西旧市场东1座2号铺,饮品店 ,23.024775,113.188095,桂城街道,平西街
 佛山市南海区肥翡农庄,粤餐证字2013440605003038,2016-10-23,佛山市南海区桂城平九路龙潭围,特大型餐馆 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 中国电信股份有限公司佛山南海区分公司,粤餐证字2013440605003034,2016-10-22,佛山市南海区桂城街道南海大道北21号,食堂 ,23.056971,113.133985,桂城街道,南海大道
 佛山市南海顺兴拉链五金制品有限公司,粤餐证字2013440605003039,2016-10-23,佛山市南海区里水镇和顺小布村,食堂 ,23.201026,113.158807,里水镇,新兴路
 佛山市南海区大沥亚信甜品店,粤餐证字2013440605003041,2016-10-23,佛山市南海区大沥环镇路新百花首层6号铺,饮品店（甜品店） ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区大沥美膳楼酒家,粤餐证字2013440605003040,2016-10-23,佛山市南海区大沥镇水头蛇四村土名“多角南”二层的商铺,大型餐馆 ,23.112067,113.104895,大沥镇,新城大道辅路
 广东电网公司佛山南海供电局,粤餐证字2013440605003042,2016-10-24,佛山市南海区桂城街道南桂东路63号,食堂 ,23.036311,113.146475,桂城街道,南桂东路
 佛山市南海区里水利利饮食店,粤餐证字2013440605003043,2016-10-24,佛山市南海区里水镇新兴路22号,小吃店 ,23.200967,113.158791,里水镇,新兴路
 佛山市南海区盐步宁嘉小食店,粤餐证字2013440605003044,2016-10-24,佛山市南海区盐步新华街铺A401号商铺,小吃店 ,22.881233,113.072196,龙江镇,西溪商业大道
 佛山市南海区西樵镇中心幼儿园新田分园,粤餐证字2013440605003045,2016-10-24,佛山市南海区西樵镇新田村,食堂 ,22.932598,112.997663,西樵镇,
 佛山市南海区大沥爱乐幼儿园,粤餐证字2013440605003048,2016-10-27,佛山市南海区大沥镇黄岐丝绸仓路33号,食堂 ,23.121787,113.194941,大沥镇,丝绸仓路
 佛山市南海区西樵镇石磨坊肠粉店,粤餐证字2013440605003047,2016-10-24,佛山市南海区西樵镇官山城区长堤路11号景福楼首层1号铺,小吃店 ,22.944852,112.977932,西樵镇,长堤路
 佛山市南海区金味果小食店,粤餐证字2013440605003049,2016-10-27,佛山市南海区桂城街道佛平路岗街景北约壹号楼首层1号铺,快餐店 ,23.018681,112.941626,西樵镇,
 佛山市南海区嘉嘉玲食品店,粤餐证字2013440605003050,2016-10-27,佛山市南海区桂城天佑三路70号,小型餐馆 ,23.029237,113.1361,桂城街道,天佑三路
 佛山市南海品宫餐厅,粤餐证字2013440605003052,2016-10-27,佛山市南海区狮山镇官窑瑶平路北侧商铺1首层：Ｆ商铺,中型餐馆 ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海区雄群美食店,粤餐证字2013440605003051,2016-10-27,佛山市南海区狮山镇小塘城区长安路小塘交管后巷6号,大型餐馆 ,23.099157,112.977493,狮山镇,四环路
 佛山市南海区潮旺汤粉店,粤餐证字2013440605003053,2016-10-27,佛山市南海区丹灶镇民丰路南七号,小型餐馆 ,23.040189,112.912418,丹灶镇,民丰路
 佛山市南海区常聚餐馆,粤餐证字2013440605003055,2016-10-27,佛山市南海区罗村联星大道南区商业城侧9号商铺,小型餐馆 ,23.052265,113.07756,狮山镇,X508(佛罗路)
 佛山南海虹霸电子有限公司,粤餐证字2013440605003057,2016-10-27,广东省佛山市南海区狮山科技工业园C区,食堂 ,23.091175,113.003728,狮山镇,S82(佛山一环)
 佛山市南海区顺易粥馆,粤餐证字2013440605003058,2016-10-27,佛山市南海区狮山镇高边社区南村民小组46米大路北侧公路边“土名高田”三栋1-5号,中型餐馆 ,23.125481,113.086064,狮山镇,S263(广云路)
 佛山市南海区罗村芳隆小食店,粤餐证字2013440605003054,2016-10-27,佛山市南海区罗村乐安乐城三路北2号富安花园A区美安苑首层25号铺,小吃店 ,23.071641,113.094887,大沥镇,乐城三路北
 佛山市南海区丹灶亚生美食店,粤餐证字2013440605003056,2016-10-27,佛山市南海区丹灶镇西联村三甲开发区壹排北起第5座和第6座商铺,中型餐馆 ,23.091091,112.935835,丹灶镇,X512
 佛山市南海区阿绍小食店,粤餐证字2013440605003059,2016-10-28,佛山市南海区桂城街道北约盎基尾1号首层,小型餐馆 ,23.018681,112.941626,西樵镇,
 佛山市南海区老树小食店,粤餐证字2013440605003061,2016-10-28,佛山市南海区桂城街道平南顺利顺三路尾,小吃店 ,23.012597,113.216722,桂城街道,顺二大道
 佛山市南海桂城金谷餐厅,粤餐证字2013440605003060,2016-10-28,佛山市南海区桂城街道平洲南港大街1号金谷光电产业社区B座第五层2号单元,中型餐馆 ,23.043504,113.208,桂城街道,南港大街
 佛山市白金瀚宫饮食娱乐管理有限公司,粤餐证字2013440605003063,2014-09-19,佛山市南海区桂城街叠北村潭头工业区2号1-5层局部,小型餐馆 ,23.061607,113.116765,桂城街道,叠滘大道
 佛山市南海区青少年军校,粤餐证字2013440605003065,2016-10-28,佛山市南海区狮山镇官窑象岭村,食堂 ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海柒玖捌美食店,粤餐证字2013440605002604,2016-08-14,佛山市南海区大沥镇盐步大道106号,中型餐馆 ,23.100695,113.170674,大沥镇,盐步大道
 佛山市南海区德进美食店,粤餐证字2013440605003066,2016-10-28,佛山市南海区狮山镇小塘站前路新食街ABC座20-21号铺,小型餐馆 ,23.106169,112.967859,狮山镇,三环西路辅路
 佛山市南海区西樵宏八饭店,粤餐证字2013440605002603,2016-08-14,佛山市南海区西樵樵乐路交警中队斜对面,中型餐馆 ,23.115095,113.156348,大沥镇,东约路
 佛山市南海区西樵蜀乡居小食店,粤餐证字2013440605002605,2016-08-14,佛山市南海区西樵镇山根村樵阳村民小组太监岗以东、艺华厂旁的三层员工楼其场地地面7号商铺,快餐店 ,22.9351,112.993299,西樵镇,S269(环山大道)
 佛山市南海区尚记甜品店,粤餐证字2013440605002606,2016-08-14,佛山市南海区桂城街道叠南村圣堂618号鸿大广场一层A-195号,饮品店 ,23.051634,113.129081,桂城街道,海三西路
 佛山市南海区翔隆美食店,粤餐证字2013440605002608,2016-08-15,佛山市南海区大沥镇盐步盐秀路东城工业区10号商铺,小型餐馆 ,23.092025,113.186404,大沥镇,东城工业区二路
 佛山市南海区西樵康城阁美食店,粤餐证字2013440605002610,2016-08-15,佛山市南海区西樵崇南黎涌拾队开发区1座1-4号,中型餐馆 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区烈记饮食店,粤餐证字2013440605002607,2016-08-15,佛山市南海区穗盐路三眼桥粮油货场路边土名“旧瓜地”商铺,中型餐馆 ,23.099891,113.180993,大沥镇,穗盐东路
 佛山市南海区西樵家裕小食店,粤餐证字2013440605002609,2016-08-15,佛山市南海区西樵百西大地桥头,小型餐馆 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区黄岐吉利北饺子馆,粤餐证字2013440605002611,2016-08-18,佛山市南海区黄岐黄海路36号之13-15,中型餐馆 ,23.117349,113.180933,大沥镇,黄海路
 佛山市南海区里水华玲小食店,粤餐证字2013440605002612,2016-08-18,佛山市南海区里水镇和顺市场三街2号之一,小吃店 ,23.252443,113.130536,里水镇,和顺大道
 佛山市南海区金沙东联蒸煌餐厅,粤餐证字2013440605002613,2016-08-18,佛山市南海区金沙东联水口开发区村委会路口南面商铺7-10号,中型餐馆 ,23.195486,113.166661,里水镇,里广路
 佛山市南海区里水参生缘小食店,粤餐证字2013440605002614,2016-08-18,佛山市南海区里水镇和顺花园大道5街10号,小吃店 ,23.023959,113.13724,祖庙街道,镇安东路
 佛山市南海区联港皮革有限公司,粤餐证字2013440605002615,2016-08-18,佛山市南海区罗村上柏村工业区,食堂 ,23.077098,113.021332,狮山镇,桂丹路辅路
 佛山市南海区世琴奶茶店,粤餐证字2013440605002616,2016-08-18,佛山市南海区罗村街道联星田邓工业区11号商铺,饮品店 ,23.068635,113.087969,狮山镇,田邓二路
 佛山市南海区九江粤香渝小食店,粤餐证字2013440605002618,2016-08-18,佛山市南海区九江镇下西南队658号之三,小吃店 ,22.833696,112.988233,九江镇,江滨路
 佛山市南海南秦酒店用品厂,粤餐证字2013440605002617,2016-08-18,佛山市南海区里水镇和顺共同开发区,食堂 ,23.201026,113.158807,里水镇,新兴路
 佛山市南海九江隆铨云吞店,粤餐证字2013440605002619,2016-08-18,佛山市南海区九江镇下北祖社直街新兴信用社旁A店,小吃店 ,22.833696,112.988233,九江镇,江滨路
 佛山市南海花蜜奶茶店,粤餐证字2013440605002620,2016-08-18,佛山市南海区狮山镇小塘协丰市场外四周6号铺,饮品店 ,23.094353,112.973019,狮山镇,永安路
 佛山市南海区家冲小食店,粤餐证字2013440605002621,2016-08-18,佛山市南海区狮山镇官窑沙头村下西村民小组“金美山”综合楼一楼自编A座31、31号商铺,小型餐馆 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区里水民安凉茶店,粤餐证字2013440605002622,2016-08-18,佛山市南海区里水镇朝阳路50号之二,饮品店 ,23.095408,112.881432,丹灶镇,生态路
 佛山市南海区如品味轩砂锅粥店,粤餐证字2013440605002623,2016-08-18,佛山市南海区桂城南桂东路66号桂南名都壹期商业物业（百花时代广场）壹楼111号,中型餐馆 ,23.035186,113.149581,桂城街道,南桂东路
 佛山市南海区麦景园面包屋,粤餐证字2013440605002624,2016-08-18,佛山市南海区狮山镇官窑凤源西路十一号自编5号,小吃店 ,23.229884,113.070702,狮山镇,凤源西路
 佛山市南海区辉勇小食店,粤餐证字2013440605002625,2016-08-18,佛山市南海区狮山镇官窑凤源西路29号首层601,小吃店 ,23.229793,113.069349,狮山镇,凤源西路
 佛山市南海区松岗大集汇饭店,粤餐证字2013440605002626,2016-08-18,佛山市南海区狮山镇松岗石碣石塘路边,小型餐馆 ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区桂城平西深冲托儿所,粤餐证字2013440605002627,2016-08-18,佛山市南海区桂城街道平西深涌村大街61号,食堂 ,23.024775,113.188095,桂城街道,平西街
 佛山市南海区季鹏饮食店,粤餐证字2013440605002628,2016-08-18,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场A2-01铺,中型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海区林飞餐饮配送服务部,粤餐证字2013440605002629,2016-08-19,佛山市南海区狮山镇塘头村常享服务部内1号铺,集体用餐配送单位 ,23.101306,113.004338,狮山镇,狮山大道
 佛山市南海区松岗杏禾苑饮食店,粤餐证字2013440605002630,2016-08-19,佛山市南海区狮山镇松岗山南开发区南区三路山南大道边商铺,大型餐馆 ,23.142151,113.116528,大沥镇,山南大道
 佛山市南海区湛川美食店,粤餐证字2013440605002632,2016-08-19,佛山市南海区大沥镇民富路6号,小型餐馆 ,23.112774,113.11464,大沥镇,民富路
 佛山市南海区丹灶香蕾美食店,粤餐证字2013440605002631,2016-08-19,佛山市南海区丹灶镇罗行村罗下西路罗行商贸城南面66号的商业铺位,中型餐馆 ,23.035193,112.959941,丹灶镇,罗下西路
 佛山市海南海区大沥张四牛快餐店,粤餐证字2013440605002633,2016-08-19,佛山市南海区大沥镇盐步环镇北路富逸居15号铺,快餐店 ,23.091488,113.174613,大沥镇,环镇北路
 佛山市南海区西樵洁燕甜品店,粤餐证字2013440605002634,2016-08-19,佛山市南海区西樵镇西樵村西吴村“过境路边”商业广场—C1栋首层18号铺,饮品店 ,22.941685,112.974095,西樵镇,江浦西路
 佛山市南海区四海乐火锅店,粤餐证字2013440605002635,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场A3-06B/09A,中型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 广州和邑餐饮管理有限公司佛山南海分店,粤餐证字2013440605002637,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场负一层B1-29号,中型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海区589鱼头火锅店,粤餐证字2013440605002636,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场三层A3-15、16、17b号,中型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 广州市同湘会饮食有限公司佛山南海分店,粤餐证字2013440605002638,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场A3-12a、13a、14,大型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 广州市麦点九毛九餐饮连锁有限公司佛山南海怡翠世嘉分店,粤餐证字2013440605002639,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场二层A2-20B、A2-22、A2-23B、A2-24B,中型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海区三禾甜品店,粤餐证字2013440605002640,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场B1-23号,饮品店 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海冯海珍凉茶店,粤餐证字2013440605002641,2014-12-13,佛山市南海区罗村下柏工业大道16号首层第八号铺,饮品店 ,23.064658,113.016577,狮山镇,下柏工业大道
 佛山市南海区曼曼快餐店,粤餐证字2013440605002642,2016-08-20,佛山市南海区罗村联和工业区联和大道19号“统盟厂前B4号”商铺,小型餐馆 ,23.080611,113.077851,狮山镇,联和大道
 佛山市南海区金膳美食坊,粤餐证字2013440605002643,2016-08-20,佛山市南海区狮山镇华南师范大学南海学院商业街一楼10号铺,快餐店 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海永利鞋业有限公司,粤餐证字2013440605002644,2016-08-20,佛山市南海区平洲永安路瑞丰街3号,食堂 ,23.039602,113.209654,桂城街道,瑞丰街
 佛山市鲭禾料理有限公司南海分店,粤餐证字2013440605002645,2016-08-20,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场B1层53、54号,小型餐馆 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海区西樵周记大排档,粤餐证字2013440605002649,2016-08-21,佛山市南海区西樵镇百西西岸十五村荣阳市场商铺B18-19号,小型餐馆 ,22.932598,112.997663,西樵镇,
 佛山市南海区西樵麦甜咖啡店,粤餐证字2013440605002651,2016-08-21,佛山市南海区西樵江浦西路26号时尚名城购物广场二层A01-A03号,中型餐馆 ,22.943246,112.975951,西樵镇,江浦西路
 佛山市南海区里水丰盈餐馆,粤餐证字2013440605002647,2016-08-21,佛山市南海区里水镇得胜北头村,小型餐馆 ,23.221151,113.150354,里水镇,得金路
 佛山市南海区淑怡湘菜馆,粤餐证字2013440605002648,2016-08-21,佛山市南海区狮山镇小塘狮山新城银狮公路边20、21、22号铺,小型餐馆 ,23.138553,112.95789,狮山镇,塘新一路
 佛山市南海区西樵永生餐厅,粤餐证字2013440605002652,2016-08-21,佛山市南海区西樵儒溪上儒村,中型餐馆 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区西樵蜀香小食店,粤餐证字2013440605002650,2016-08-21,佛山市南海区西樵镇官山城区长堤路8号丽景楼3号铺,小吃店 ,22.945002,112.978282,西樵镇,长堤路
 佛山市南海区桂城粥家庄快餐店西樵分店,粤餐证字2013440605002653,2016-08-21,佛山市南海区西樵镇樵高路33号汇银大酒店首层（4-5）铺,快餐店 ,22.953513,112.979845,西樵镇,樵高路
 佛山市南海区里水长鸿川菜馆,粤餐证字2013440605002655,2016-08-21,佛山市南海区里水镇里广路162-3号,小型餐馆 ,23.195471,113.165359,里水镇,里广路
 广东捷永特种设备技术服务有限公司,粤餐证字2013440605002654,2016-08-21,佛山市南海区桂城街道三山13号地块,食堂 ,23.039034,113.193397,桂城街道,培正路
 佛山市南海区里水德盛小食店,粤餐证字2013440605002657,2016-08-21,佛山市南海区里水镇里广路229号,小吃店 ,23.196948,113.162808,里水镇,太行路
 佛山市南海区展明小食店,粤餐证字2013440605002658,2016-08-21,佛山市南海区罗村寨边四队胜堂坊8号商铺,小吃店 ,22.99692,113.121717,石湾镇街道,港口路
 佛山市南海区雅米休闲小吃店,粤餐证字2013440605002659,2016-08-22,佛山市南海区桂城街道天佑六路1号之4,小吃店 ,23.026786,113.142749,桂城街道,天佑六路
 佛山市南海区桂城锦记烧腊店,粤餐证字2013440605002661,2016-08-22,佛山市南海区桂城街道天佑三路21号铺,小型餐馆 ,23.035121,113.134277,桂城街道,天佑三路
 佛山市南海区立俊小吃店,粤餐证字2013440605002660,2016-08-22,佛山市南海区桂城街道南桂东路花苑广场27座2号铺,小吃店 ,23.034581,113.146445,桂城街道,花苑广场中路
 佛山市南海区肥味饮食有限公司,粤餐证字2013440605002662,2016-08-22,佛山市南海区桂城街道石一村东季华路冯格新村1号,中型餐馆 ,23.013953,113.157526,桂城街道,巷口坊路
 佛山市南海区旺成华餐馆,粤餐证字2013440605002663,2016-08-22,佛山市南海区桂城街道石季华东路一村东8号,中型餐馆 ,23.013953,113.157526,桂城街道,巷口坊路
 佛山市南海区蒸宫云吞店,粤餐证字2013440605002664,2016-08-22,佛山市南海区桂城街道佛平路岗商业街南三座5号铺首层,小吃店 ,23.129717,113.001205,狮山镇,丽怡路
 深圳天安物业管理有限公司佛山市分公司,粤餐证字2013440605002665,2016-08-22,佛山市南海区桂城街道简平路1号天佑创富大厦首层,食堂 ,23.020745,113.162455,桂城街道,简平路
 佛山市南海区官窑健升小食店,粤餐证字2013440605002666,2016-08-22,佛山市南海区狮山镇官窑黎岗黎南村大元岗口李铭新商铺A3号,小型餐馆 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区桂城街道夏南二幼儿园,粤餐证字2013440605002667,2016-08-22,佛山市南海区桂城街道夏南二大道56号,食堂 ,23.024576,113.179827,桂城街道,南二大道
 佛山市南海区官窑千里香饮食分店,粤餐证字2013440605002668,2016-08-22,佛山市南海区狮山镇官窑市场南一路10号,小型餐馆 ,23.228516,113.078831,狮山镇,市场南一路
 佛山市南海潇湘一佳餐馆,粤餐证字2013440605002669,2016-08-22,佛山市南海区狮山镇官窑凤源西路中美大厦自编9号,小型餐馆 ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海区德红小食店,粤餐证字2013440605002670,2016-08-22,佛山市南海区罗村街道联星村水部工业区45号西商铺,小型餐馆 ,23.061731,113.088635,狮山镇,水部西街
 佛山市南海区艾琳饮品店,粤餐证字2013440605002672,2016-08-22,佛山市南海区桂城街道桂澜南路45号怡翠世嘉购物商场负一层B1-58号,饮品店 ,23.013695,113.149062,桂城街道,桂澜路
 佛山市南海区添康饮品店,粤餐证字2013440605002673,2016-08-22,佛山市南海区大沥镇黄岐海北建设大道南自编2至6号B区B1015,饮品店 ,23.143674,113.183856,大沥镇,建设大道
