 名称,许可证号,许可证有效期,地址,类型 ,lat,lng,town
 佛山市南海区桂城友来快餐店,粤餐证字2013440605002579,2016-08-11,佛山市南海区桂城街道平洲平西福成围工业区,快餐店 ,23.029749,113.182512,桂城街道,桂平路
 佛山市南海区桂城桂东幼儿园,粤餐证字2013440605002580,2016-08-11,佛山市南海区桂城南桂东路东兴街8号,食堂 ,23.036541,113.140746,桂城街道,南桂东路
 佛山市南海区大沥粤宁农家菜馆,粤餐证字2013440605002581,2016-08-12,佛山市南海区大沥钟边大道土名为“排芳”的商铺,中型餐馆 ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区生纪饮食店,粤餐证字2013440605002582,2016-08-12,佛山市南海区罗村城中路9号,小吃店 ,23.059842,113.040207,狮山镇,城中路
 佛山市南海沙头家乡味饭店,粤餐证字2013440605002583,2016-08-12,佛山市南海区九江镇沙头英明村尾村田塘巷21号,小型餐馆 ,22.894365,113.036927,九江镇,明安路
 佛山市南海区官窑东映小食店,粤餐证字2013440605002585,2016-08-12,佛山市南海区狮山镇官窑教育路33号之3号铺,小吃店 ,23.092593,112.9764,狮山镇,教育路
 佛山市南海区狮山蒋冬林小食店,粤餐证字2013440605002584,2016-08-12,佛山市南海区狮山镇狮山办事处招大招南二村综合楼商铺C－1号,中型餐馆 ,23.126301,113.001942,狮山镇,俊景南路
 佛山市南海全仁小食店,粤餐证字2013440605002586,2016-08-12,南海区狮山镇官窑沙头村下西村民小组“金美山”综合楼首层自编30（A）号,小吃店 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区官窑刘二粥粉店,粤餐证字2013440605002587,2016-08-12,佛山市南海区狮山镇官窑小榄圩西一巷9号铺,小吃店 ,23.173909,112.99677,狮山镇,华沙路
 佛山市南海区官窑浩达精密玩具有限公司,粤餐证字2013440605002588,2016-08-12,广东省佛山市南海区狮山镇官窑官和公路边,食堂 ,23.23271,113.088537,狮山镇,X493(永安大道)
 佛山市南海区里水文教幼儿园,粤餐证字2013440605002589,2016-08-12,佛山市南海区里水镇文教村（土名）“社爷”地段,食堂 ,23.248565,113.150478,里水镇,文教路
 佛山市南海西华慈云素食馆,粤餐证字2013440605002590,2016-08-12,佛山市南海区里水镇草场管理区西华村西华寺对面,小型餐馆 ,23.202688,113.196683,里水镇,西华寺街
